Time,position,speed,result
884,-1.00978451913782,0.032771410295793,1
885,-0.958806067224035,0.0345921144575918,1
886,-0.912925460501631,0.035720963684073,1
887,-0.871632914451468,0.036278121920682,2
888,-0.871632914451468,0.036278121920682,2
889,-0.784469623006321,0.0476274307013478,2
890,-0.784469623006321,0.0476274307013478,2
891,-0.571878355171608,0.0492188915775642,3
892,-0.514690519654447,0.0500157859715239,3
893,-0.463221467689003,0.050161112570916,3
894,-0.416899320920102,0.0497772159907144,3
895,-0.375209388828092,0.0478237327290405,3
896,-0.303919604950755,0.0464182439555893,3
897,-0.303919604950755,0.0464182439555893,3
898,-0.273527644455679,0.0448156156095379,2
899,-0.246174880010111,0.0430693304931409,2
900,-0.2215573920091,0.0412241462439279,2
901,-0.19940165280819,0.0393173055396261,2
902,-0.179461487527371,0.0373795915137454,2
903,-0.161515338774634,0.0354362472376446,2
904,-0.0953638048971706,0.0385077759016265,2
905,-0.0358274244074535,0.0406106363604355,2
906,0.0177553180332918,0.0419078469684665,2
907,0.0659797862299626,0.042539509091287,3
908,0.109381807606966,0.0426257603198586,3
909,0.14844362684627,0.0422693662118031,3
910,0.183599264161643,0.0415579933221601,3
911,0.215239337745479,0.0405662013483277,2
912,0.243715403970931,0.0393571878360401,2
913,0.269343863573838,0.0379843150127268,2
914,0.292409477216454,0.0364924448757157,2
915,0.313168529494808,0.0349191056159796,2
916,0.331851676545328,0.0332955097594336,2
917,0.348666508890795,0.0316474420180369,2
918,0.413799858001715,0.0349960327273253,2
919,0.472419872201544,0.0373584308745756,2
920,0.52517788498139,0.0388983890651026,3
921,0.572660096483251,0.0397567713087785,3
922,0.615394086834925,0.0400544932130681,3
923,0.653854678151433,0.039895103023412,3
924,0.68846921033629,0.0393670459395565,3
925,0.719622289302661,0.038545649242238,3
926,0.747660060372395,0.0374948614249876,3
927,0.772894054335155,0.0362687746787649,2
928,0.79560464890164,0.0349129566675368,2
929,0.816044184011476,0.0334656145117667,2
930,0.834439765610328,0.0319586112204753,2
931,0.850995789049295,0.0304183524423245,2
932,0.865896210144366,0.0288665593075991,2
933,0.879306589129929,0.0273209412753955,2
934,0.891375930216936,0.0257957812565567,2
935,0.952238337195243,0.0293024438287317,2
936,1.00701450347572,0.0318498160739061,2
937,1.05631305312815,0.0335946894317583,2
938,1.10068174781533,0.034672089957301,3
939,1.1406135730338,0.0351980634834176,3
940,1.17655221573042,0.0352721214047378,3
941,1.20889699415738,0.0349793871069599,3
942,1.23800729474164,0.0343924784546901,3
943,1.26420656526748,0.0335731576618047,3
944,1.28778590874073,0.0325737762429495,3
945,1.30900731786666,0.0314385395312473,2
